year,word,frequency
1780,kellosepät,1
1780,ajanmittaus,1
1780,Helsinki,1
1780,1780,1
1780,kellot,1
1780,taskukellot,1
1960,funkis,4
1960,laukut matkalaukut,1
1960,yritykset tukkuliikkeet,2
1960,päivähoito päiväkodit lastentarhat,3
1960,konfirmaatio,1
1960,harrastukset,5
1960,torit,18
1960,aikakauslehdet,3
1960,leikkikalut nuket,2
1960,1960-luku,17
1960,"Helsinki, Makasiinilaituri",3
1960,jonot,3
1960,laivastot,2
1960,myymälät valintamyymälät,7
1960,liikenneväylät,27
1960,rakennukset puurakennukset maatalousrakennusket aitat,1
1960,kansanperinne,1
1960,19601130,5
1960,1964 / 1960 -luku,1
1960,"Helsinki, Munkkiniemen puistotie 15.",2
1960,ikkunat,4
1960,patsaat muistomerkit,5
1960,Elanto,1
1960,suihkulähteet,2
1960,ompelukoneet,3
1960,"Helsinki, Hakaniemen tori",1
1960,"Helsinki, Katariinankatu",1
1960,somistus,8
1960,vaatteet,44
1960,korjaus,1
1960,puutarhaviljely.,6
1960,"Helsinki, Panimokatu 1.",7
1960,lamput,1
1960,tuolit,3
1960,koululiikunta,15
1960,"Helsinki, Kasarmikatu 19 a. Kasarmitori 2.",2
1960,torit aukiot,1
1960,"Helsinki, Pohjoisesplanadi 23. Fabianinkatu 27 - 29.",1
1960,tapahtumat,11
1960,"Helsinki, Snellmaninkatu 9-11",1
1960,"Helsinki, Metsäpurontie",4
1960,viheraluuet puistot,9
1960,"Helsinki, Hietalahdenranta 15",2
1960,"Helsinki, Fredrikinkatu 40, 42. Eerikinkatu",1
1960,"Helsinki, Töölönlahti",5
1960,"Helsinki, Ratakatu 9 ?",1
1960,"Helsinki, Runeberginkatu 1",1
1960,liikenne vesiliikenne,8
1960,kynttilänjalat,1
1960,vesikulkuneuvot puuveneet,2
1960,julkisivut,1
1960,palokunnat paloasemat,2
1960,polttohautaus,3
1960,viheralueet puistot,41
1960,työntekijät henkilöstö,2
1960,ruoanvalmistus,1
1960,orkesterit,2
1960,ilmaisutaito,1
1960,rakennustyöt,6
1960,ahtojää,1
1960,talviurheilu luistelu,1
1960,"Helsinki, Mannerheimintie. Vihdintie. Hämeenlinnanväylä",1
1960,talviurheilu,5
1960,"Helsinki, Kanavanranta",3
1960,hinaajat,1
